date,indice,value
1980-06-06,00471X0095,68.49
1980-06-13,00471X0095,68.37
1980-06-20,00471X0095,68.23
1980-06-26,00471X0095,68.09
1980-07-04,00471X0095,67.93
1980-07-11,00471X0095,67.78
1980-07-18,00471X0095,67.62
1980-09-30,00471X0095,66.81
1980-10-07,00471X0095,66.66
1980-10-14,00471X0095,66.52
1980-10-21,00471X0095,66.38
1980-10-28,00471X0095,66.24
1980-11-04,00471X0095,66.12
1980-11-11,00471X0095,65.99
1980-11-18,00471X0095,65.88
1980-11-25,00471X0095,65.78
1980-12-02,00471X0095,65.67
1980-12-11,00471X0095,65.59
1980-12-18,00471X0095,65.57
1980-12-25,00471X0095,65.75
1981-01-01,00471X0095,65.93
1981-01-08,00471X0095,66.22
1981-01-15,00471X0095,66.38
1981-01-22,00471X0095,66.96
1981-01-29,00471X0095,67.64
1981-02-05,00471X0095,68.26
1981-02-12,00471X0095,68.83
1981-02-19,00471X0095,69.18
1981-02-26,00471X0095,69.46
1981-03-04,00471X0095,69.63
1981-03-10,00471X0095,69.83
1981-03-17,00471X0095,69.93
1981-03-24,00471X0095,70.09
1981-03-31,00471X0095,70.20
1981-04-07,00471X0095,70.28
1981-04-14,00471X0095,70.34
1981-04-21,00471X0095,70.38
1981-04-28,00471X0095,70.39
1981-05-05,00471X0095,70.38
1981-05-12,00471X0095,70.35
1981-05-19,00471X0095,70.24
1981-05-26,00471X0095,70.12
1981-06-02,00471X0095,69.94
1981-06-09,00471X0095,69.73
1981-06-16,00471X0095,69.52
1981-06-23,00471X0095,69.31
1981-06-30,00471X0095,69.09
1981-07-07,00471X0095,68.87
1981-07-15,00471X0095,68.60
1981-07-22,00471X0095,68.39
1981-07-30,00471X0095,68.10
1981-08-06,00471X0095,67.87
1981-08-13,00471X0095,67.62
1981-08-20,00471X0095,67.35
1981-08-27,00471X0095,67.13
1981-09-03,00471X0095,66.88
1981-09-10,00471X0095,66.64
1981-09-17,00471X0095,66.44
1981-09-24,00471X0095,66.27
1981-10-01,00471X0095,66.06
1981-10-08,00471X0095,65.84
1981-10-15,00471X0095,65.73
1981-10-22,00471X0095,65.62
1981-10-29,00471X0095,65.75
1981-11-06,00471X0095,66.26
1981-11-13,00471X0095,66.47
1981-11-20,00471X0095,66.64
1981-11-27,00471X0095,66.73
1981-12-04,00471X0095,66.88
1981-12-11,00471X0095,67.04
1981-12-18,00471X0095,67.51
1981-12-25,00471X0095,67.97
1982-01-15,00471X0095,69.86
1982-02-12,00471X0095,71.68
1982-03-05,00471X0095,71.93
1982-03-19,00471X0095,71.77
1982-04-16,00471X0095,70.96
1982-06-11,00471X0095,69.16
1982-07-09,00471X0095,68.34
1982-08-06,00471X0095,67.44
1982-09-03,00471X0095,66.53
